col	row	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
4	8	61	0.0	0.0	nan	nan	0.0	0.0
4	8	58	0.0	0.0	nan	nan	0.0	0.0
4	8	55	0.0	0.0	nan	nan	0.0	0.0
4	8	52	0.0	0.0	nan	nan	0.0	0.0
4	8	49	0.0	0.0	nan	nan	0.0	0.0
4	8	46	0.0	0.0	nan	nan	0.0	0.0
4	8	43	0.0	0.0	nan	nan	0.0	0.0
4	8	40	0.0	0.0	nan	nan	0.0	0.0
4	8	37	0.0	0.0	nan	nan	0.0	0.0
4	8	34	0.0	0.0	nan	nan	0.0	0.0
4	8	31	0.0	0.0	nan	nan	0.0	0.0
4	8	28	0.0	0.0	nan	nan	0.0	0.0
4	9	100	0.0	0.0	nan	nan	0.0	0.0
4	9	97	0.0	0.0	nan	nan	0.0	0.0
4	9	94	0.0	0.0	nan	nan	0.0	0.0
4	9	91	0.0	0.0	nan	nan	0.0	0.0
4	9	88	0.0	0.0	nan	nan	0.0	0.0
4	9	85	0.0	0.0	nan	nan	0.0	0.0
4	9	82	0.0	0.0	nan	nan	0.0	0.0
4	9	79	0.0	0.0	nan	nan	0.0	0.0
4	9	76	0.0	0.0	nan	nan	0.0	0.0
4	9	73	0.0	0.0	nan	nan	0.0	0.0
4	9	70	0.0	0.0	nan	nan	0.0	0.0
4	9	67	0.0	0.0	nan	nan	0.0	0.0
4	9	64	0.0	0.0	nan	nan	0.0	0.0
4	9	61	0.0	0.0	nan	nan	0.0	0.0
4	9	58	0.0	0.0	nan	nan	0.0	0.0
4	9	55	0.0	0.0	nan	nan	0.0	0.0
4	9	52	0.0	0.0	nan	nan	0.0	0.0
4	9	49	0.0	0.0	nan	nan	0.0	0.0
4	9	46	0.0	0.0	nan	nan	0.0	0.0
4	9	43	0.0	0.0	nan	nan	0.0	0.0
4	9	40	0.0	0.0	nan	nan	0.0	0.0
4	9	37	0.0	0.0	nan	nan	0.0	0.0
4	9	34	0.0	0.0	nan	nan	0.0	0.0
4	9	31	0.0	0.0	nan	nan	0.0	0.0
4	9	28	0.0	0.0	nan	nan	0.0	0.0
4	10	100	0.0	0.0	nan	nan	0.0	0.0
4	10	97	0.0	0.0	nan	nan	0.0	0.0
4	10	94	0.0	0.0	nan	nan	0.0	0.0
4	10	91	0.0	0.0	nan	nan	0.0	0.0
4	10	88	0.0	0.0	nan	nan	0.0	0.0
4	10	85	0.0	0.0	nan	nan	0.0	0.0
4	10	82	0.0	0.0	nan	nan	0.0	0.0
4	10	79	0.0	0.0	nan	nan	0.0	0.0
4	10	76	0.0	0.0	nan	nan	0.0	0.0
4	10	73	0.0	0.0	nan	nan	0.0	0.0
4	10	70	0.0	0.0	nan	nan	0.0	0.0
4	10	67	0.0	0.0	nan	nan	0.0	0.0
4	10	64	0.0	0.0	nan	nan	0.0	0.0
4	10	61	0.0	0.0	nan	nan	0.0	0.0
4	10	58	0.0	0.0	nan	nan	0.0	0.0
4	10	55	0.0	0.0	nan	nan	0.0	0.0
4	10	52	0.0	0.0	nan	nan	0.0	0.0
4	10	49	0.0	0.0	nan	nan	0.0	0.0
4	10	46	0.0	0.0	nan	nan	0.0	0.0
4	10	43	0.0	0.0	nan	nan	0.0	0.0
4	10	40	0.0	0.0	nan	nan	0.0	0.0
4	10	37	0.0	0.0	nan	nan	0.0	0.0
4	10	34	0.0	0.0	nan	nan	0.0	0.0
4	10	31	0.0	0.0	nan	nan	0.0	0.0
4	10	28	0.0	0.0	nan	nan	0.0	0.0
4	11	100	0.0	0.0	nan	nan	0.0	0.0
4	11	97	0.0	0.0	nan	nan	0.0	0.0
4	11	94	0.0	0.0	nan	nan	0.0	0.0
4	11	91	0.0	0.0	nan	nan	0.0	0.0
4	11	88	0.0	0.0	nan	nan	0.0	0.0
4	11	85	0.0	0.0	nan	nan	0.0	0.0
4	11	82	0.0	0.0	nan	nan	0.0	0.0
4	11	79	0.0	0.0	nan	nan	0.0	0.0
4	11	76	0.0	0.0	nan	nan	0.0	0.0
4	11	73	0.0	0.0	nan	nan	0.0	0.0
4	11	70	0.0	0.0	nan	nan	0.0	0.0
4	11	67	0.0	0.0	nan	nan	0.0	0.0
4	11	64	0.0	0.0	nan	nan	0.0	0.0
4	11	61	0.0	0.0	nan	nan	0.0	0.0
4	11	58	0.0	0.0	nan	nan	0.0	0.0
4	11	55	0.0	0.0	nan	nan	0.0	0.0
4	11	52	0.0	0.0	nan	nan	0.0	0.0
4	11	49	0.0	0.0	nan	nan	0.0	0.0
4	11	46	0.0	0.0	nan	nan	0.0	0.0
