row,col,tdac_code,tup,mu,sigma
7,4,16,0,31.5,1.51
7,4,24,0,23.18,2.32
7,4,31,0,-147.21,36.62
7,5,0,1,60.19,1.2
7,5,8,1,68.3,2.24
7,5,16,1,76.12,2.04
7,5,24,1,85.67,1.89
7,5,31,1,92.05,2.11
7,5,0,0,62.01,1.76
7,5,8,0,53.89,1.64
7,5,16,0,46.5,1.52
7,5,24,0,36.91,1.71
7,5,31,0,29.81,1.2
7,6,0,1,51.5,1.33
7,6,8,1,59.7,1.87
7,6,16,1,67.04,1.38
7,6,24,1,75.52,2.27
7,6,31,1,82.51,1.75
7,6,0,0,52.76,0.95
7,6,8,0,44.71,1.31
7,6,16,0,35.71,1.68
7,6,24,0,27.0,1.54
7,6,31,0,18.4,2.19
7,7,0,1,57.4,1.41
7,7,8,1,64.49,1.75
7,7,16,1,70.93,2.38
7,7,24,1,78.51,1.77
7,7,31,1,85.91,1.71
7,7,0,0,59.81,0.67
7,7,8,0,51.7,1.51
7,7,16,0,44.04,2.0
7,7,24,0,36.1,1.46
7,7,31,0,29.8,1.39
8,0,0,1,47.12,1.93
8,0,8,1,53.86,1.53
8,0,16,1,60.69,1.08
8,0,24,1,69.6,1.23
8,0,31,1,76.0,1.33
8,0,0,0,49.1,1.68
8,0,8,0,41.68,1.76
8,0,16,0,34.28,1.13
8,0,24,0,27.2,1.39
8,0,31,0,15.13,2.52
8,1,0,1,50.93,2.45
8,1,8,1,58.4,1.84
8,1,16,1,65.4,1.41
8,1,24,1,74.25,2.06
8,1,31,1,82.59,2.13
8,1,0,0,53.0,1.56
8,1,8,0,44.17,1.86
8,1,16,0,34.8,1.61
8,1,24,0,25.13,1.15
8,1,31,0,16.23,1.8
8,2,0,1,56.75,2.05
8,2,8,1,63.8,1.45
8,2,16,1,70.91,2.64
8,2,24,1,78.7,1.52
8,2,31,1,84.94,2.23
8,2,0,0,57.62,1.42
8,2,8,0,50.7,1.51
8,2,16,0,41.53,1.02
8,2,24,0,34.02,1.82
8,2,31,0,26.7,1.51
8,3,0,1,58.31,1.67
8,3,8,1,66.51,1.4
8,3,16,1,74.08,1.91
8,3,24,1,82.89,1.66
8,3,31,1,90.3,1.87
8,3,0,0,60.51,1.4
8,3,8,0,51.8,1.39
8,3,16,0,42.24,1.67
8,3,24,0,33.8,1.59
8,3,31,0,25.42,1.95
8,4,0,1,42.4,1.41
8,4,8,1,49.6,1.42
8,4,16,1,57.38,1.42
8,4,24,1,66.79,2.95
8,4,31,1,74.54,1.91
8,4,0,0,43.2,1.39
8,4,8,0,36.2,1.83
8,4,16,0,27.11,1.66
8,4,24,0,19.62,0.82
8,4,31,0,-147.21,36.62
8,5,0,1,58.76,1.2
8,5,8,1,63.56,1.83
8,5,16,1,71.0,1.32
8,5,24,1,77.79,2.27
8,5,31,1,83.31,1.67
8,5,0,0,60.24,1.68
8,5,8,0,53.62,2.1
8,5,16,0,47.52,1.71
8,5,24,0,39.7,1.51
8,5,31,0,33.13,1.17
8,6,0,1,52.84,1.76
8,6,8,1,59.59,2.39
8,6,16,1,67.67,1.75
8,6,24,1,75.82,2.06
8,6,31,1,83.47,0.61
8,6,0,0,55.91,1.71
8,6,8,0,49.24,1.92
8,6,16,0,40.5,1.52
8,6,24,0,32.87,2.75
8,6,31,0,25.9,1.61
8,7,0,1,45.19,1.82
8,7,8,1,50.41,1.63
8,7,16,1,55.58,0.58
8,7,24,1,62.44,0.95
8,7,31,1,66.11,2.02
8,7,0,0,47.3,1.51
8,7,8,0,40.45,1.81
8,7,16,0,34.19,1.65
8,7,24,0,28.31,1.25
8,7,31,0,22.11,1.66
9,0,0,1,50.07,1.42
9,0,8,1,56.22,1.21
9,0,16,1,63.6,1.38
9,0,24,1,70.86,1.53
9,0,31,1,78.67,1.75
9,0,0,0,51.18,1.43
9,0,8,0,43.97,0.71
9,0,16,0,35.6,0.87
9,0,24,0,28.13,1.15
9,0,31,0,19.4,1.38
9,1,0,1,61.49,1.4
9,1,8,1,66.87,1.85
9,1,16,1,74.08,1.91
9,1,24,1,82.21,1.69
9,1,31,1,87.72,2.13
9,1,0,0,63.32,2.29
9,1,8,0,57.5,1.15
9,1,16,0,48.22,2.17
9,1,24,0,41.24,1.67
9,1,31,0,34.36,1.65
9,2,0,1,44.15,2.55
9,2,8,1,51.59,2.79
9,2,16,1,59.9,1.69
9,2,24,1,68.18,2.37
9,2,31,1,76.82,2.17
9,2,0,0,46.8,1.83
9,2,8,0,39.5,1.51
9,2,16,0,29.38,2.03
9,2,24,0,19.44,1.94
9,2,31,0,-147.21,36.62
9,3,0,1,39.0,1.54
9,3,8,1,46.2,1.39
9,3,16,1,55.4,0.62
9,3,24,1,63.05,1.06
9,3,31,1,71.7,0.65
9,3,0,0,40.1,1.46
9,3,8,0,32.95,1.1
9,3,16,0,23.77,0.79
9,3,24,0,-137.21,36.62
9,3,31,0,-147.21,36.62
9,4,0,1,52.64,0.97
9,4,8,1,59.83,1.86
9,4,16,1,68.7,1.72
9,4,24,1,77.78,2.69
9,4,31,1,85.52,2.27
9,4,0,0,54.54,1.22
9,4,8,0,47.51,2.02
9,4,16,0,38.65,0.63
9,4,24,0,28.6,0.87
9,4,31,0,18.67,2.37
9,5,0,1,57.4,1.84
9,5,8,1,63.96,2.0
9,5,16,1,73.1,1.74
9,5,24,1,79.01,1.76
9,5,31,1,85.61,1.95
9,5,0,0,59.56,0.95
9,5,8,0,52.15,2.08
9,5,16,0,43.76,0.95
9,5,24,0,36.18,1.93
9,5,31,0,27.71,1.68
9,6,0,1,59.07,1.98
9,6,8,1,66.22,2.17
9,6,16,1,74.6,1.62
9,6,24,1,85.4,1.33
9,6,31,1,92.59,1.58
9,6,0,0,59.94,1.99
9,6,8,0,51.0,1.54
9,6,16,0,41.57,1.95
9,6,24,0,32.48,1.62
9,6,31,0,22.3,0.66
9,7,0,1,52.34,1.82
9,7,8,1,57.11,2.02
9,7,16,1,65.19,1.82
9,7,24,1,71.48,1.62
9,7,31,1,77.85,1.3
9,7,0,0,54.8,1.45
9,7,8,0,47.07,1.42
9,7,16,0,39.7,1.51
9,7,24,0,31.49,1.4
9,7,31,0,25.18,1.59
10,0,0,1,52.21,1.69
10,0,8,1,59.33,1.75
10,0,16,1,67.16,2.79
10,0,24,1,76.03,1.86
10,0,31,1,83.86,0.69
10,0,0,0,53.11,2.28
10,0,8,0,45.95,1.06
10,0,16,0,38.31,1.25
10,0,24,0,29.16,1.76
10,0,31,0,20.9,1.46
10,1,0,1,50.17,1.86
10,1,8,1,56.48,0.6
10,1,16,1,62.8,1.83
10,1,24,1,68.22,2.17
10,1,31,1,74.5,1.34
10,1,0,0,51.39,0.61
10,1,8,0,46.76,1.2
10,1,16,0,38.96,1.38
10,1,24,0,32.6,1.3
10,1,31,0,25.4,0.87
10,2,0,1,48.0,3.57
10,2,8,1,55.42,1.99
10,2,16,1,64.07,2.62
10,2,24,1,71.77,1.96
10,2,31,1,80.52,1.7
10,2,0,0,49.3,1.5
10,2,8,0,40.95,2.12
10,2,16,0,32.39,1.37
10,2,24,0,21.84,3.41
10,2,31,0,-147.21,36.62
10,3,0,1,42.81,1.2
10,3,8,1,48.81,1.47
10,3,16,1,54.42,0.59
10,3,24,1,59.18,2.41
10,3,31,1,65.31,1.25
10,3,0,0,44.22,1.2
10,3,8,0,38.11,1.66
10,3,16,0,32.75,2.13
10,3,24,0,25.85,1.3
10,3,31,0,20.3,2.41
10,4,0,1,62.07,1.42
10,4,8,1,68.62,2.05
10,4,16,1,76.89,1.64
10,4,24,1,86.16,1.76
10,4,31,1,93.15,1.3
10,4,0,0,63.06,2.16
10,4,8,0,56.06,1.62
10,4,16,0,47.41,1.57
10,4,24,0,39.6,1.42
10,4,31,0,31.59,1.57
10,5,0,1,43.98,1.98
10,5,8,1,47.65,1.59
10,5,16,1,55.9,1.41
10,5,24,1,62.3,1.54
10,5,31,1,68.11,1.69
10,5,0,0,44.71,1.68
10,5,8,0,38.99,1.76
10,5,16,0,31.5,0.99
10,5,24,0,24.81,1.82
10,5,31,0,18.0,1.33
10,6,0,1,49.71,1.68
10,6,8,1,58.2,1.59
10,6,16,1,67.71,2.28
10,6,24,1,77.42,1.99
10,6,31,1,86.85,1.3
10,6,0,0,51.79,1.69
